Source,Indicator,Country,Administrative level,Year,Value ,Category,valuetype
Household Survey Indicators,Completion rate in primary education,Bahamas,National,2023,0.99086232,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bahamas,National,2023,0.07675497,Total,pct
Household Survey Indicators,Completion rate in primary education,Barbados,National,2024,0.974889039,Total,pct
Household Survey Indicators,Completion rate in secondary education,Barbados,National,2024,0.93822919,Total,pct
Household Survey Indicators,Early school dropout rate,Barbados,National,2024,0.072748859,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Barbados,National,2024,0.995932715,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Barbados,National,2024,0.848537557,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Barbados,National,2024,0.310899149,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Barbados,National,2024,0.128163551,Total,pct
Household Survey Indicators,Completion rate in primary education,Belize,National,2007,0.961099127,Total,pct
Household Survey Indicators,Completion rate in secondary education,Belize,National,2007,0.433044382,Total,pct
Household Survey Indicators,Early school dropout rate,Belize,National,2007,0.531152819,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Belize,National,2007,0.619493873,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Belize,National,2007,0.314155346,Total,pct
Household Survey Indicators,Completion rate in primary education,Belize,National,2018,0.96924313,Total,pct
Household Survey Indicators,Completion rate in secondary education,Belize,National,2018,0.594673212,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2006,0.876559102,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2006,0.564229159,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2006,0.332569696,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2006,0.958759287,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Bolivia,National,2006,0.736415019,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Bolivia,National,2006,0.468991923,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Bolivia,National,2006,0.107856622,Total,pct
Household Survey Indicators,Completion rate in primary education,Bolivia,National,2007,0.914116581,Total,pct
Household Survey Indicators,Completion rate in secondary education,Bolivia,National,2007,0.64947736,Total,pct
Household Survey Indicators,Early school dropout rate,Bolivia,National,2007,0.291016751,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Bolivia,National,2007,0.982690929,Total,pct
