Pais,Anio,Escolaridad,Relacion_salarial
América Latina,2005,Total,85.9
América Latina,2006,0 a 5 años,76.1
América Latina,2006,10 a 12 años,78.4
América Latina,2006,13 años y más,73
América Latina,2006,6 a 9 años,73.8
América Latina,2006,Total,85.4
América Latina,2007,0 a 5 años,74.7
América Latina,2007,10 a 12 años,77.7
América Latina,2007,13 años y más,74.4
América Latina,2007,6 a 9 años,73.4
América Latina,2007,Total,84.9
América Latina,2008,0 a 5 años,74.7
América Latina,2008,10 a 12 años,76.5
América Latina,2008,13 años y más,74.4
América Latina,2008,6 a 9 años,72
América Latina,2008,Total,83.8
América Latina,2009,0 a 5 años,78
América Latina,2009,10 a 12 años,76.8
América Latina,2009,13 años y más,76.7
América Latina,2009,6 a 9 años,73.5
América Latina,2009,Total,85.7
América Latina,2010,0 a 5 años,77.6
América Latina,2010,10 a 12 años,78
América Latina,2010,13 años y más,76.8
América Latina,2010,6 a 9 años,73.9
América Latina,2010,Total,85.6
América Latina,2011,0 a 5 años,77.1
América Latina,2011,10 a 12 años,79.1
América Latina,2011,13 años y más,77.2
América Latina,2011,6 a 9 años,74.3
América Latina,2011,Total,86.6
América Latina,2012,0 a 5 años,81.1
América Latina,2012,10 a 12 años,77.7
América Latina,2012,13 años y más,78.9
América Latina,2012,6 a 9 años,75.5
América Latina,2012,Total,87.4
América Latina,2013,0 a 5 años,80
América Latina,2013,10 a 12 años,78.5
América Latina,2013,13 años y más,80.2
América Latina,2013,6 a 9 años,75.1
América Latina,2013,Total,88.2
América Latina,2014,0 a 5 años,79.7
América Latina,2014,10 a 12 años,80.5
América Latina,2014,13 años y más,78.8
América Latina,2014,6 a 9 años,75.8
América Latina,2014,Total,88.3
América Latina,2015,0 a 5 años,81.4
América Latina,2015,10 a 12 años,81.1
América Latina,2015,13 años y más,81.2
América Latina,2015,6 a 9 años,77
América Latina,2015,Total,90.8
América Latina,2016,0 a 5 años,81
América Latina,2016,10 a 12 años,82.2
América Latina,2016,13 años y más,81.3
América Latina,2016,6 a 9 años,77.3
América Latina,2016,Total,90.8
América Latina,2017,0 a 5 años,79.1
América Latina,2017,10 a 12 años,82.4
América Latina,2017,13 años y más,82
América Latina,2017,6 a 9 años,78.2
América Latina,2017,Total,91.2
América Latina,2018,0 a 5 años,81.1
América Latina,2018,10 a 12 años,81.8
América Latina,2018,13 años y más,82.7
América Latina,2018,6 a 9 años,78.7
América Latina,2018,Total,91.6
América Latina,2019,0 a 5 años,83.8
América Latina,2019,10 a 12 años,81.8
América Latina,2019,13 años y más,83.7
América Latina,2019,6 a 9 años,78.7
América Latina,2019,Total,92.4
América Latina,2020,0 a 5 años,85.6
América Latina,2020,10 a 12 años,83.5
